G_label,ANC,start_pairwise_connectivity,end_pairwise_connectivity,baseline,method_name
Flickr,0.3735005457264071,1.0,0.0528063901813185,False,ORIGINAL_BA_FINDER
Flickr,0.3262509360744354,1.0,0.0393125739285896,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
Youtube,0.1486052123746264,1.0,1.1438474668733922e-06,False,ORIGINAL_BA_FINDER
Youtube,0.139491151643505,1.0,7.780140454140619e-07,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
Epinions,0.336166812118858,1.0,0.0219623664426677,False,ORIGINAL_BA_FINDER
Epinions,0.301297266378885,1.0,0.0156305877763179,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
Facebook,0.880134767297646,1.0,0.7678058155186008,False,ORIGINAL_BA_FINDER
Facebook,0.8141619201335273,1.0,0.6606161451793011,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
Gnutella31,0.5959762904992127,1.0,0.2787429330865658,False,ORIGINAL_BA_FINDER
Gnutella31,0.6088082889017313,1.0,0.3124314648442762,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
Enron,0.2543002764868819,1.0,0.0365557772245213,False,ORIGINAL_BA_FINDER
Enron,0.1973548093892959,1.0,0.036854628703073,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
Digg,0.5317662642551526,1.0,0.2260834746269888,False,ORIGINAL_BA_FINDER
Digg,0.5308784396135862,1.0,0.227369608920881,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
HI-II-14,0.3687794072683385,1.0,0.0605924214066029,False,ORIGINAL_BA_FINDER
HI-II-14,0.367784566442405,1.0,0.055173885116006,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
Crime,0.6787807557233279,1.0,0.3771233603142136,False,ORIGINAL_BA_FINDER
Crime,0.6870009485876576,1.0,0.3830556575351246,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
Flickr,0.4701473550604407,1.0,0.0823330008706241,True,degree
Youtube,0.1488036784327407,1.0,5.280349653229986e-06,True,degree
Epinions,0.3509363369710654,1.0,0.0363115815763693,True,degree
Facebook,0.8802064430531656,1.0,0.7630305932577721,True,degree
Gnutella31,0.690635452840525,1.0,0.432411120710381,True,degree
Enron,0.2283681114176382,1.0,0.0215764211157939,True,degree
Digg,0.5612528491045375,1.0,0.2750824110057202,True,degree
HI-II-14,0.3908402138288256,1.0,0.1168361292643858,True,degree
Crime,0.7400603143415396,1.0,0.4307762684801547,True,degree
Flickr,0.3794847768180233,1.0,0.038186361744087884,True,HDA
Flickr,0.41055374240821974,1.0,0.018876708915763832,True,CI
Youtube,0.11910428531498056,1.0,7.388315828360318e-07,True,HDA
Youtube,0.12505335399561757,1.0,6.889548064714961e-07,True,CI
Epinions,0.32182210207641965,1.0,0.004906243277142669,True,HDA
Epinions,0.3324079877397927,1.0,0.00010958091787781212,True,CI
Facebook,0.8767594879125504,1.0,0.7555802948681019,True,HDA
Facebook,0.8783791866909023,1.0,0.7588198368441129,True,CI
Gnutella31,0.6678666853055643,1.0,0.3692703072696189,True,HDA
Gnutella31,0.7099172487773401,1.0,0.44445535530723546,True,CI
Enron,0.20614559559112952,1.0,0.026585690556606124,True,HDA
Enron,0.22739747342471883,1.0,0.023373796374859836,True,CI
Digg,0.549925228068708,1.0,0.25124962999230815,True,HDA
Digg,0.5640065547289321,1.0,0.2723668276331778,True,CI
HI-II-14,0.344312751840927,1.0,0.03870770210101332,True,HDA
HI-II-14,0.3680043087951208,1.0,0.015822351995553263,True,CI
Crime,0.7403080145423576,1.0,0.45302529676054615,True,HDA
Crime,0.7647553065974884,1.0,0.5133360139391503,True,CI
